0,0.000
10,0.507
20,1.019
30,1.537
40,2.059
50,2.585
60,3.116
70,3.650
80,4.187
90,4.726
100,5.269
110,5.814
120,6.360
130,6.909
140,7.459
150,8.010
160,8.562
170,9.115
180,9.669
190,10.224
200,10.779
210,11.334
220,11.889
230,12.445
240,13.000
250,13.555
260,14.110
270,14.665
280,15.219
290,15.773
300,16.327
310,16.881
320,17.434
330,17.986
340,18.538
350,19.090
360,19.642
370,20.194
380,20.745
390,21.297
400,21.848
410,22.400
420,22.952
430,23.504
440,24.057
450,24.610
460,25.164
470,25.720
480,26.276
490,26.834
500,27.393
510,27.953
520,28.516
530,29.080
540,29.647
550,30.216
560,30.788
570,31.362
580,31.939
590,32.519
600,33.102
610,33.689
620,34.279
630,34.873
640,35.470
650,36.071
660,36.675
670,37.284
680,37.896
690,38.512
700,39.132

