0,0.000
10,0.261
20,0.525
30,0.793
40,1.065
50,1.340
60,1.619
70,1.902
80,2.189
90,2.480
100,2.774
110,3.072
120,3.374
130,3.680
140,3.989
150,4.302
160,4.618
170,4.937
180,5.259
190,5.585
200,5.913
210,6.245
220,6.579
230,6.916
240,7.255
250,7.597
260,7.941
270,8.288
280,8.637
290,8.988
300,9.341
310,9.696
320,10.054
330,10.413
340,10.774
350,11.136
360,11.501
370,11.867
380,12.234
390,12.603
400,12.974
410,13.346
420,13.719
430,14.094
440,14.469
450,14.846
460,15.225
470,15.604
480,15.984
490,16.366
500,16.748
510,17.131
520,17.515
530,17.900
540,18.286
550,18.672
560,19.059
570,19.447
580,19.835
590,20.224
600,20.613
610,21.003
620,21.393
630,21.784
640,22.175
650,22.566
660,22.958
670,23.350
680,23.742
690,24.134
700,24.527

