0,0.000
10,0.397
20,0.798
30,1.203
40,1.612
50,2.023
60,2.436
70,2.851
80,3.267
90,3.682
100,4.096
110,4.509
120,4.920
130,5.328
140,5.735
150,6.138
160,6.540
170,6.941
180,7.340
190,7.739
200,8.138
210,8.539
220,8.940
230,9.343
240,9.747
250,10.153
260,10.561
270,10.971
280,11.382
290,11.795
300,12.209
310,12.624
320,13.040
330,13.457
340,13.874
350,14.293
360,14.713
370,15.133
380,15.554
390,15.975
400,16.397
410,16.820
420,17.243
430,17.667
440,18.091
450,18.516
460,18.941
470,19.366
480,19.792
490,20.218
500,20.644
510,21.071
520,21.497
530,21.924
540,22.350
550,22.776
560,23.203
570,23.629
580,24.055
590,24.480
600,24.905
610,25.330
620,25.755
630,26.179
640,26.602
650,27.025
660,27.447
670,27.869
680,28.289
690,28.710
700,29.129
